Time,Metric,Symbol,Value
2009-01-03,active_addresses,btc,0.0
2009-01-03,addresses,btc,1.0
2009-01-03,non_zero_addresses,btc,1.0
2009-01-03,supply,btc,50.0
2009-01-03,transactions_count,btc,0.0
2009-01-03,transactions_rate,btc,0.0
2009-01-03,transfers_mean,btc,0.0
2009-01-03,transfers_sum,btc,0.0
2009-01-04,active_addresses,btc,0.0
2009-01-04,addresses,btc,1.0
2009-01-04,non_zero_addresses,btc,0.0
2009-01-04,supply,btc,50.0
2009-01-04,transactions_count,btc,0.0
2009-01-04,transactions_rate,btc,0.0
2009-01-04,transfers_mean,btc,0.0
2009-01-04,transfers_sum,btc,0.0
2009-01-05,active_addresses,btc,0.0
2009-01-05,addresses,btc,1.0
2009-01-05,non_zero_addresses,btc,0.0
2009-01-05,supply,btc,50.0
2009-01-05,transactions_count,btc,0.0
2009-01-05,transactions_rate,btc,0.0
2009-01-05,transfers_mean,btc,0.0
2009-01-05,transfers_sum,btc,0.0
2009-01-06,active_addresses,btc,0.0
2009-01-06,addresses,btc,1.0
2009-01-06,non_zero_addresses,btc,0.0
2009-01-06,supply,btc,50.0
2009-01-06,transactions_count,btc,0.0
2009-01-06,transactions_rate,btc,0.0
2009-01-06,transfers_mean,btc,0.0
2009-01-06,transfers_sum,btc,0.0
2009-01-07,active_addresses,btc,0.0
2009-01-07,addresses,btc,1.0
2009-01-07,non_zero_addresses,btc,0.0
2009-01-07,supply,btc,50.0
2009-01-07,transactions_count,btc,0.0
2009-01-07,transactions_rate,btc,0.0
2009-01-07,transfers_mean,btc,0.0
2009-01-07,transfers_sum,btc,0.0
2009-01-08,active_addresses,btc,0.0
2009-01-08,addresses,btc,1.0
2009-01-08,non_zero_addresses,btc,0.0
2009-01-08,supply,btc,50.0
2009-01-08,transactions_count,btc,0.0
2009-01-08,transactions_rate,btc,0.0
2009-01-08,transfers_mean,btc,0.0
2009-01-08,transfers_sum,btc,0.0
2009-01-09,active_addresses,btc,0.0
2009-01-09,addresses,btc,15.0
2009-01-09,non_zero_addresses,btc,14.0
2009-01-09,supply,btc,750.0
2009-01-09,transactions_count,btc,0.0
2009-01-09,transactions_rate,btc,0.0
2009-01-09,transfers_mean,btc,0.0
2009-01-09,transfers_sum,btc,0.0
2009-01-10,active_addresses,btc,0.0
2009-01-10,addresses,btc,76.0
2009-01-10,non_zero_addresses,btc,61.0
2009-01-10,supply,btc,3800.0
2009-01-10,transactions_count,btc,0.0
2009-01-10,transactions_rate,btc,0.0
2009-01-10,transfers_mean,btc,0.0
2009-01-10,transfers_sum,btc,0.0
2009-01-11,active_addresses,btc,0.0
2009-01-11,addresses,btc,169.0
2009-01-11,non_zero_addresses,btc,93.0
2009-01-11,supply,btc,8450.0
2009-01-11,transactions_count,btc,0.0
2009-01-11,transactions_rate,btc,0.0
2009-01-11,transfers_mean,btc,0.0
2009-01-11,transfers_sum,btc,0.0
2009-01-12,active_addresses,btc,8.0
2009-01-12,addresses,btc,270.0
2009-01-12,non_zero_addresses,btc,101.0
2009-01-12,supply,btc,13150.0
2009-01-12,transactions_count,btc,7.0
2009-01-12,transactions_mean,btc,253.857142857143
2009-01-12,transactions_rate,btc,8.101851851800001e-05
2009-01-12,transactions_sum,btc,1777.0
2009-01-12,transfers_mean,btc,25.5714285714286
2009-01-12,transfers_sum,btc,179.0
2009-01-13,active_addresses,btc,0.0
2009-01-13,addresses,btc,393.0
2009-01-13,non_zero_addresses,btc,123.0
2009-01-13,supply,btc,19300.0
2009-01-13,transactions_count,btc,0.0
2009-01-13,transactions_rate,btc,0.0
2009-01-13,transfers_mean,btc,0.0
2009-01-13,transfers_sum,btc,0.0
2009-01-14,active_addresses,btc,4.0
2009-01-14,addresses,btc,523.0
2009-01-14,non_zero_addresses,btc,130.0
2009-01-14,supply,btc,25750.0
2009-01-14,transactions_count,btc,1.0
2009-01-14,transactions_mean,btc,427.0
2009-01-14,transactions_rate,btc,1.1574074074e-05
2009-01-14,transactions_sum,btc,427.0
2009-01-14,transfers_mean,btc,61.0
2009-01-14,transfers_sum,btc,61.0
2009-01-15,active_addresses,btc,14.0
2009-01-15,addresses,btc,655.0
2009-01-15,non_zero_addresses,btc,132.0
2009-01-15,supply,btc,32050.0
2009-01-15,transactions_count,btc,8.0
2009-01-15,transactions_mean,btc,356.5
2009-01-15,transactions_rate,btc,9.2592592592e-05
2009-01-15,transactions_sum,btc,2852.0
2009-01-15,transfers_mean,btc,62.5
2009-01-15,transfers_sum,btc,500.0
2009-01-16,active_addresses,btc,6.0
2009-01-16,addresses,btc,765.0
2009-01-16,non_zero_addresses,btc,110.0
2009-01-16,supply,btc,37450.0
2009-01-16,transactions_count,btc,2.0
2009-01-16,transactions_mean,btc,294.0
2009-01-16,transactions_rate,btc,2.3148148148e-05
2009-01-16,transactions_sum,btc,588.0
2009-01-16,transfers_mean,btc,100.0
2009-01-16,transfers_sum,btc,200.0
2009-01-17,active_addresses,btc,0.0
2009-01-17,addresses,btc,874.0
2009-01-17,non_zero_addresses,btc,109.0
2009-01-17,supply,btc,42900.0
2009-01-17,transactions_count,btc,0.0
2009-01-17,transactions_rate,btc,0.0
2009-01-17,transfers_mean,btc,0.0
2009-01-17,transfers_sum,btc,0.0
2009-01-18,active_addresses,btc,4.0
2009-01-18,addresses,btc,982.0
2009-01-18,non_zero_addresses,btc,108.0
2009-01-18,supply,btc,48250.0
2009-01-18,transactions_count,btc,1.0
2009-01-18,transactions_mean,btc,426.0
2009-01-18,transactions_rate,btc,1.1574074074e-05
2009-01-18,transactions_sum,btc,426.0
2009-01-18,transfers_mean,btc,150.0
2009-01-18,transfers_sum,btc,150.0
2009-01-19,active_addresses,btc,18.0
2009-01-19,addresses,btc,1098.0
2009-01-19,non_zero_addresses,btc,116.0
2009-01-19,supply,btc,54000.0
2009-01-19,transactions_count,btc,2.0
2009-01-19,transactions_mean,btc,973.0
